code;libelle;gid
01.11Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;1
01.12Z;Culture du riz;2
01.13Z;Culture de légumes, de melons, de racines et de tubercules;3
01.14Z;Culture de la canne à sucre;4
01.15Z;Culture du tabac;5
01.16Z;Culture de plantes à fibres;6
01.19Z;Autres cultures non permanentes;7
01.21Z;Culture de la vigne;8
01.22Z;Culture de fruits tropicaux et subtropicaux;9
01.23Z;Culture d'agrumes;10
01.24Z;Culture de fruits à pépins et à noyau;11
01.25Z;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;12
01.26Z;Culture de fruits oléagineux;13
01.27Z;Culture de plantes à boissons;14
01.28Z;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;15
01.29Z;Autres cultures permanentes;16
01.30Z;Reproduction de plantes;17
01.41Z;Élevage de vaches laitières;18
01.42Z;Élevage d'autres bovins et de buffles;19
01.43Z;Élevage de chevaux et d'autres équidés;20
01.44Z;Élevage de chameaux et d'autres camélidés;21
01.45Z;Élevage d'ovins et de caprins;22
01.46Z;Élevage de porcins;23
01.47Z;Élevage de volailles;24
01.49Z;Élevage d'autres animaux;25
01.50Z;Culture et élevage associés;26
01.61Z;Activités de soutien aux cultures;27
01.62Z;Activités de soutien à la production animale;28
01.63Z;Traitement primaire des récoltes;29
01.64Z;Traitement des semences;30
01.70Z;Chasse, piégeage et services annexes;31
02.10Z;Sylviculture et autres activités forestières;32
02.20Z;Exploitation forestière;33
02.30Z;Récolte de produits forestiers non ligneux poussant à l'état sauvage;34
02.40Z;Services de soutien à l'exploitation forestière;35
03.11Z;Pêche en mer;36
03.12Z;Pêche en eau douce;37
03.21Z;Aquaculture en mer;38
03.22Z;Aquaculture en eau douce;39
05.10Z;Extraction de houille;40
05.20Z;Extraction de lignite;41
06.10Z;Extraction de pétrole brut;42
06.20Z;Extraction de gaz naturel;43
07.10Z;Extraction de minerais de fer;44
07.21Z;Extraction de minerais d'uranium et de thorium;45
07.29Z;Extraction d'autres minerais de métaux non ferreux;46
08.11Z;Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise;47
08.12Z;Exploitation de gravières et sablières, extraction d’argiles et de kaolin;48
08.91Z;Extraction des minéraux chimiques et d'engrais minéraux ;49
08.92Z;Extraction de tourbe;50
08.93Z;Production de sel ;51
08.99Z;Autres activités extractives n.c.a.;52
09.10Z;Activités de soutien à l'extraction d'hydrocarbures;53
09.90Z;Activités de soutien aux autres industries extractives ;54
10.11Z;Transformation et conservation de la viande de boucherie;55
10.12Z;Transformation et conservation de la viande de volaille;56
10.13A;Préparation industrielle de produits à base de viande;57
10.13B;Charcuterie;58
10.20Z;Transformation et conservation de poisson, de crustacés et de mollusques;59
10.31Z;Transformation et conservation de pommes de terre;60
10.32Z;Préparation de jus de fruits et légumes;61
10.39A;Autre transformation et conservation de légumes;62
10.39B;Transformation et conservation de fruits;63
10.41A;Fabrication d'huiles et graisses brutes;64
10.41B;Fabrication d'huiles et graisses raffinées;65
10.42Z;Fabrication de margarine et graisses comestibles similaires;66
10.51A;Fabrication de lait liquide et de produits frais;67
10.51B;Fabrication de beurre;68
10.51C;Fabrication de fromage;69
10.51D;Fabrication d'autres produits laitiers;70
