"domain","domain_libelle","metier","metier_libelle"
"A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A11","Engins agricoles et forestiers"
"A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A13","Etudes et assistance technique"
"A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A15","Soins aux animaux"
"B","Arts et Façonnage d'ouvrages d'art","B11","Arts plastiques"
"B","Arts et Façonnage d'ouvrages d'art","B12","Céramique"
"B","Arts et Façonnage d'ouvrages d'art","B13","Décoration"
"B","Arts et Façonnage d'ouvrages d'art","B14","Fibres et papier"
"B","Arts et Façonnage d'ouvrages d'art","B15","Instruments de musique"
"B","Arts et Façonnage d'ouvrages d'art","B16","Métal, verre, bijouterie et horlogerie"
"B","Arts et Façonnage d'ouvrages d'art","B17","Taxidermie"
"B","Arts et Façonnage d'ouvrages d'art","B18","Tissu et cuirs"
"C","Banque, Assurance, Immobilier","C11","Assurance"
"C","Banque, Assurance, Immobilier","C12","Banque"
"C","Banque, Assurance, Immobilier","C13","Finance"
"C","Banque, Assurance, Immobilier","C14","Gestion administrative banque et assurances"
"C","Banque, Assurance, Immobilier","C15","Immobilier"
"D","Commerce, Vente et Grande distribution","D11","Commerce alimentaire et métiers de bouche"
"D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D","Commerce, Vente et Grande distribution","D13","Direction de magasin de détail"
"D","Commerce, Vente et Grande distribution","D14","Force de vente"
"D","Commerce, Vente et Grande distribution","D15","Grande distribution"
"E","Communication, Média et Multimédia","E11","Edition et communication"
"E","Communication, Média et Multimédia","E12","Images et sons"
"E","Communication, Média et Multimédia","E13","Industries graphiques"
"E","Communication, Média et Multimédia","E14","Publicité"
"F","Construction, Bâtiment et Travaux publics","F11","Conception et études"
"F","Construction, Bâtiment et Travaux publics","F12","Conduite et encadrement de chantier - travaux"
"F","Construction, Bâtiment et Travaux publics","F13","Engins de chantier"
"F","Construction, Bâtiment et Travaux publics","F14","Extraction"
"F","Construction, Bâtiment et Travaux publics","F15","Montage de structures"
"F","Construction, Bâtiment et Travaux publics","F16","Second oeuvre"
"F","Construction, Bâtiment et Travaux publics","F17","Travaux et gros oeuvre"
"G","Hôtellerie-Restauration, Tourisme, Loisirs et Animation","G11","Accueil et promotion touristique"
"G","Hôtellerie-Restauration, Tourisme, Loisirs et Animation","G12","Animation d'activités de loisirs"
"G","Hôtellerie-Restauration, Tourisme, Loisirs et Animation","G13","Conception, commercialisation et vente de produits touristiques"
"G","Hôtellerie-Restauration, Tourisme, Loisirs et Animation","G14","Gestion et direction"
"G","Hôtellerie-Restauration, Tourisme, Loisirs et Animation","G15","Personnel d'étage en hôtellerie"
"G","Hôtellerie-Restauration, Tourisme, Loisirs et Animation","G16","Production culinaire"
"G","Hôtellerie-Restauration, Tourisme, Loisirs et Animation","G17","Accueil en hôtellerie"
"G","Hôtellerie-Restauration, Tourisme, Loisirs et Animation","G18","Service"
"H","Industrie","H11","Affaires et support technique client"
"H","Industrie","H12","Conception, recherche, études et développement"
"H","Industrie","H13","Hygiène Sécurité Environnement -HSE- industriels"
"H","Industrie","H14","Méthodes et gestion industrielles"
"H","Industrie","H15","Qualité et analyses industrielles"
"H","Industrie","H21","Alimentaire"
"H","Industrie","H22","Bois"
"H","Industrie","H23","Chimie et pharmacie"
"H","Industrie","H24","Cuir et textile"
"H","Industrie","H25","Direction, encadrement et pilotage de fabrication et production industrielles"
"H","Industrie","H26","Electronique et électricité"
"H","Industrie","H27","Energie"
"H","Industrie","H28","Matériaux de construction, céramique et verre"
"H","Industrie","H29","Mécanique, travail des métaux et outillage"
"H","Industrie","H31","Papier et carton"
"H","Industrie","H32","Plastique, caoutchouc"
"H","Industrie","H33","Préparation et conditionnement"
"H","Industrie","H34","Traitements thermiques et traitements de surfaces"
"I","Installation et Maintenance","I11","Encadrement"
"I","Installation et Maintenance","I12","Entretien technique"
"I","Installation et Maintenance","I13","Equipements de production, équipements collectifs"
"I","Installation et Maintenance","I14","Equipements domestiques et informatique"
"I","Installation et Maintenance","I15","Travaux d'accès difficile"
"I","Installation et Maintenance","I16","Véhicules, engins, aéronefs"
"J","Santé","J11","Praticiens médicaux"
"J","Santé","J12","Praticiens médico-techniques"
"J","Santé","J13","Professionnels médico-techniques"
"J","Santé","J14","Rééducation et appareillage"
"J","Santé","J15","Soins paramédicaux"
"K","Services à la personne et à la collectivité","K11","Accompagnement de la personne"
"K","Services à la personne et à la collectivité","K12","Action sociale, socio-éducative et socio-culturelle"
"K","Services à la personne et à la collectivité","K13","Aide à la vie quotidienne"
"K","Services à la personne et à la collectivité","K14","Conception et mise en oeuvre des politiques publiques"
"K","Services à la personne et à la collectivité","K15","Contrôle public"
"K","Services à la personne et à la collectivité","K16","Culture et gestion documentaire"
"K","Services à la personne et à la collectivité","K17","Défense, sécurité publique et secours"
"K","Services à la personne et à la collectivité","K18","Développement territorial et emploi"
"K","Services à la personne et à la collectivité","K19","Droit"
"K","Services à la personne et à la collectivité","K21","Formation initiale et continue"
"K","Services à la personne et à la collectivité","K22","Nettoyage et propreté industriels"
"K","Services à la personne et à la collectivité","K23","Propreté et environnement urbain"
"K","Services à la personne et à la collectivité","K24","Recherche"
"K","Services à la personne et à la collectivité","K25","Sécurité privée"
"K","Services à la personne et à la collectivité","K26","Services funéraires"
"L","Spectacle","L11","Animation de spectacles"
"L","Spectacle","L12","Artistes - interprètes du spectacle"
"L","Spectacle","L13","Conception et production de spectacles"
"L","Spectacle","L14","Sport professionnel"
"L","Spectacle","L15","Techniciens du spectacle"
"M","Support à l'entreprise","M11","Achats"
"M","Support à l'entreprise","M12","Comptabilité et gestion"
"M","Support à l'entreprise","M13","Direction d'entreprise"
"M","Support à l'entreprise","M14","Organisation et études"
"M","Support à l'entreprise","M15","Ressources humaines"
"M","Support à l'entreprise","M16","Secrétariat et assistance"
"M","Support à l'entreprise","M17","Stratégie commerciale, marketing et supervision des ventes"
"M","Support à l'entreprise","M18","Systèmes d'information et de télécommunication"
"N","Transport et Logistique","N11","Magasinage, manutention des charges et déménagement"
"N","Transport et Logistique","N12","Organisation de la circulation des marchandises"
"N","Transport et Logistique","N13","Personnel d'encadrement de la logistique"
"N","Transport et Logistique","N21","Personnel navigant du transport aérien"
"N","Transport et Logistique","N22","Personnel sédentaire du transport aérien"
"N","Transport et Logistique","N31","Personnel navigant du transport maritime et fluvial"
"N","Transport et Logistique","N32","Personnel sédentaire du transport maritime et fluvial"
"N","Transport et Logistique","N41","Personnel de conduite du transport routier"
"N","Transport et Logistique","N42","Personnel d'encadrement du transport routier"
"N","Transport et Logistique","N43","Personnel navigant du transport terrestre"
"N","Transport et Logistique","N44","Personnel sédentaire du transport ferroviaire et réseau filo guidé"
